timestamp,mic,accel_x,accel_y,accel_z
256296,6,1.49,0.20,7.45
256654,3,-0.51,1.45,8.36
257026,8,-1.33,2.28,8.08
257396,3,-2.12,1.61,7.37
257768,5,-2.12,2.12,6.94
258140,11,-2.20,1.33,7.37
258525,6,2.20,-1.22,9.10
258896,6,-1.57,2.71,8.39
259268,9,1.80,0.67,10.20
259639,6,-2.08,3.37,7.65
260011,4,1.29,0.47,9.14
260368,1,-0.75,-1.45,8.28
260754,3,2.94,0.63,10.16
261125,3,-2.67,2.67,7.14
261496,5,-1.02,2.75,8.20
261868,6,-0.04,-0.78,9.49
262253,3,0.98,0.20,9.77
262610,6,-1.61,0.94,8.12
262982,5,2.16,-0.27,9.73
263353,3,0.24,-0.47,8.20
263725,5,3.02,-0.63,9.49
264096,6,1.80,-1.45,8.94
264468,7,1.02,-1.65,9.57
264839,4,2.24,0.47,9.57
265196,2,2.94,0.31,10.08
265568,1,-2.51,2.00,7.34
265938,7,-0.08,-0.78,9.38
266324,2,1.29,-1.88,8.83
266696,4,-0.67,4.00,7.85
267068,4,1.73,-0.55,10.00
267453,6,1.37,-1.29,8.83
267825,1,-1.73,3.22,7.85
268196,5,1.73,0.35,9.73
268553,3,-3.22,2.39,6.94
268924,4,2.31,-1.53,8.83
269296,4,-0.24,0.12,8.36
269667,1,-2.08,1.77,7.57
270039,5,3.69,0.24,9.61
270396,2,-0.63,2.31,7.92
270768,0,1.37,0.75,10.16
271138,0,-1.22,1.14,7.18
271510,3,-3.22,3.26,7.06
271882,1,1.22,0.59,9.73
272239,5,-1.80,2.90,7.61
272610,3,-1.92,2.35,6.75
272982,1,-0.55,3.10,7.22
273353,4,-1.14,2.08,8.00
273724,6,-0.98,2.47,6.94
274096,1,1.33,-0.59,8.71
274467,0,0.94,1.37,9.92
274824,7,-1.18,0.31,9.02
275195,6,1.84,-0.90,9.53
275567,3,-0.59,0.63,8.12
275939,2,-2.31,1.69,6.98
276310,4,2.86,1.14,9.89
276667,8,0.39,0.59,8.51
277024,2,-1.29,0.75,9.85
277396,5,-1.26,1.65,7.49
277767,10,2.47,-0.20,7.69
278153,7,-2.16,2.43,8.00
278524,3,0.47,1.77,9.10
278881,2,-1.33,2.94,7.02
279252,3,2.82,0.82,9.49
279610,0,-3.92,-0.67,9.22
279995,1,-2.28,1.29,7.77
280367,3,-0.47,3.49,7.41
280738,2,0.78,-1.29,8.32
281110,3,-0.31,-0.55,8.24
281495,1,-2.55,1.88,8.12
281867,6,0.00,-0.20,9.85
282238,7,-3.61,3.45,7.57
282609,3,-3.02,3.26,7.45
282981,6,-0.82,0.35,8.16
283353,8,0.75,-0.67,9.22
283723,6,-1.77,2.20,7.26
284095,4,1.26,-0.78,9.26
284467,1,1.22,1.53,7.22
284824,1,-2.16,1.33,7.49
285195,2,2.51,0.90,9.38
285552,0,1.80,0.12,10.47
285924,3,-1.33,0.20,8.16
286296,4,-1.88,2.35,7.18
286666,5,-0.39,-1.18,8.63
287052,4,-2.55,2.55,7.45
